match_id,group,team,opponent,goals_for,goals_against,goal_diff,result,points,is_host
56,J,Austria,Jordan,3,1,2,Win,3,0
56,J,Jordan,Austria,1,3,-2,Loss,0,0
57,J,Argentina,Austria,2,0,2,Win,3,0
57,J,Austria,Argentina,0,2,-2,Loss,0,0
58,J,Jordan,Algeria,1,2,-1,Loss,0,0
58,J,Algeria,Jordan,2,1,1,Win,3,0
59,J,Argentina,Jordan,3,1,2,Win,3,0
59,J,Jordan,Argentina,1,3,-2,Loss,0,0
60,J,Austria,Algeria,3,3,0,Draw,1,0
60,J,Algeria,Austria,3,3,0,Draw,1,0
61,K,Portugal,DR Congo,1,1,0,Draw,1,0
61,K,DR Congo,Portugal,1,1,0,Draw,1,0
62,K,Uzbekistan,Colombia,1,3,-2,Loss,0,0
62,K,Colombia,Uzbekistan,3,1,2,Win,3,0
63,K,Portugal,Uzbekistan,5,0,5,Win,3,0
63,K,Uzbekistan,Portugal,0,5,-5,Loss,0,0
64,K,Colombia,DR Congo,1,0,1,Win,3,0
64,K,DR Congo,Colombia,0,1,-1,Loss,0,0
65,K,Colombia,Portugal,0,0,0,Draw,1,0
65,K,Portugal,Colombia,0,0,0,Draw,1,0
66,K,DR Congo,Uzbekistan,3,1,2,Win,3,0
66,K,Uzbekistan,DR Congo,1,3,-2,Loss,0,0
67,L,England,Croatia,4,2,2,Win,3,0
67,L,Croatia,England,2,4,-2,Loss,0,0
68,L,Ghana,Panama,1,0,1,Win,3,0
68,L,Panama,Ghana,0,1,-1,Loss,0,0
69,L,England,Ghana,0,0,0,Draw,1,0
69,L,Ghana,England,0,0,0,Draw,1,0
70,L,Panama,Croatia,0,1,-1,Loss,0,0
70,L,Croatia,Panama,1,0,1,Win,3,0
71,L,England,Panama,2,0,2,Win,3,0
71,L,Panama,England,0,2,-2,Loss,0,0
72,L,Croatia,Ghana,2,1,1,Win,3,0
72,L,Ghana,Croatia,1,2,-1,Loss,0,0
